source_reference_short,chemical_name,medium,subcategory,location,country_or_region,sampling_year_or_period,time_period_group,min_concentration,max_concentration,mean_concentration,median_concentration,concentration_unit,notes
"Scott, 2005",TFA,plants,,Chile,Chile,1999,pre_2010,,23.4,6.6,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,1992,post_2010,,,42.8,,ng/gdw,
"Scott, 2005",TFA,plants,,Malawi,Malawi,1999,pre_2010,10.64,27.66,21.28,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,1992,post_2010,,,98.5,,ng/gdw,
"Scott, 2005",TFA,plants,,Canada (Ontario),Canada,2000,pre_2010,212,276.6,244.68,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,1989,pre_2010,,,24.6,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,1991,pre_2010,,,156,,ng/gdw,
"Lan, 2020",TFA,animals,,"China (northern, Beijing-Tianjin-Hebei)",China,"2016, 2017",post_2010,14.2,105,53.5,,ng/gdw,multiple years
"Freeling, 2022",TFA,plants,,Germany,Germany,1992,pre_2010,,,42.8,,ng/gdw,
"Freeling, 2022",TFA,plants,,Germany,Germany,1992,pre_2010,,,98.5,,ng/gdw,
"Chen, 2018",TFA,soil,,China (Fuxin),China,2016,post_2010,13,2400,305.7,,ng/gdw,
"Lan, 2020",TFA,soil,,"China (northern, Beijing-Tianjin-Hebei)",China,2017,post_2010,0.435,16.7,3.51,,ng/gdw,
"Scott, 2005",TFA,soil,,Canada,Canada,2000,pre_2010,0.2,3.3,1.3,,ng/gdw,
"Xie, 2020",TFA,soil,,China,China,2016,post_2010,0.059,2.081,0.79225,,ng/gdw,
"Scott, 2005",TFA,soil,,Malawi,Malawi,1999,pre_2010,3,7.5,5.25,,ng/gdw,
"Scott, 2005",TFA,soil,,UK,UK,1999,pre_2010,0.85,7,3.67,,ng/gdw,
"Scott, 2005",TFA,soil,,Chile,Chile,1999,pre_2010,0.1,9.4,1.52,,ng/gdw,
"Chen, 2018",TFA,sediments,,China (Fuxin),China,2016,post_2010,4.9,200,65.12,,ng/gdw,
"Scott, 2005",TFA,soil,,UK,UK,"1865, 1881, 1956",pre_2010,0.35,0.55,0.47,,ng/gdw,multiple years
"Li, 2010",TFA,soil,,China (Shanghai),China,2007,pre_2010,92.7,188,135.96,,ng/gdw,
"Chen, 2018",TFA,dust (outdoor),,China (Fuxin),China,2016,post_2010,65,29000,4524.2,,ng/gdw,
"Tian, 2018",TFA,dust (outdoor),,China,China,2016,post_2010,1100,3700,,,ng/gdw,
"Li, 2010",TFA,sediments,,China (Shanghai),China,2007,pre_2010,44.9,127,63.43,,ng/gdw,
"Lan, 2020",TFA,dust (outdoor),,China (northern Beijing-Tianjin-Hebei),China,"2016, 2017",post_2010,21.5,348,133.3,,ng/gdw,multiple years
"Wang, 2021",TFA,dust (outdoor),,China,China,2017,post_2010,n.d.,827,123.5,100,ng/gdw,reported as n.d.
"Wang, 2021",TFA,dust (outdoor),,China,China,2013,post_2010,n.d.,1136,28.25,21,ng/gdw,reported as n.d.
"Li, 2010",TFA,sludge,,China (Shanghai),China,2008,pre_2010,233,352,279,,ng/gdw,
"Wang, 2021",TFA,dust (indoor),,China,China,2017,post_2010,16,895,270.3,233.5,ng/gdw,
"Zheng, 2023",TFA,dust (indoor),,USA (Indiana),USA,2020,post_2010,n.d.,1400,,220,ng/gdw,reported as n.d.
"Duan, 2020",TFA,human serum,,China,China,2017,post_2010,6.18,17.98,7.21,8.46,ng/mL,
"Zheng, 2023",TFA,human serum,,USA (Indiana),USA,2020,post_2010,n.d.,77,,6,ng/mL,reported as n.d.
